netCodes	staCodes	stlas	stlos	startDate	endDate	numDays	gapDays	netFlag	staFlag
AF	MBEY	-8.983	33.241	29-May-2007 00:00:00	14-Aug-2013 23:59:59	1620	650	1	1
AF	WIN	-22.5667	17.1	03-Oct-2006 00:00:00	13-Jun-2017 23:59:59	1606	2301	1	1
AF	ANKE	9.5827	39.7418	09-May-2009 00:00:00	16-Oct-2015 23:59:59	1462	890	1	1
AF	AAUS	9.0349	38.7665	19-May-2007 00:00:00	24-Aug-2014 23:59:59	1409	1246	1	2
AF	TEZI	-15.747	26.016	12-Jan-2006 00:00:00	14-Jul-2015 23:59:59	1372	2099	1	2
AF	UPI	-28.362	21.253	23-Jun-2006 00:00:00	21-Oct-2018 23:59:59	1293	3211	1	2
AF	ZOMB	-15.3833	35.35	20-Jun-2006 00:00:00	26-Jun-2017 23:59:59	1273	2752	1	2
AF	BLWY	-20.143	28.611	05-Apr-2007 00:00:00	21-Oct-2018 23:59:59	1248	2970	1	2
AF	SWZ	-27.182	25.332	25-Apr-2006 00:00:00	21-Oct-2018 23:59:59	1207	3356	1	2
AF	HVD	-30.605	25.497	05-May-2006 00:00:00	21-Oct-2018 23:59:59	1171	3382	1	2
AF	POGA	-27.346	31.707	25-Apr-2006 00:00:00	06-Oct-2018 23:59:59	1086	3462	1	2
AF	YNDE	3.87	11.456	21-Nov-2007 00:00:00	27-Nov-2013 23:59:59	1072	1127	1	2
AF	GRM	-33.313	26.508	13-May-2006 00:00:00	05-Jul-2012 23:59:59	1065	1181	1	2
AF	DESE	11.118	39.635	03-Aug-2006 00:00:00	05-Jul-2015 23:59:59	1020	2239	1	2
AF	KUKU	6.19232	-0.36842	03-Jul-2009 00:00:00	10-Jan-2016 23:59:59	989	1394	1	2
AF	MZM	-11.434	34.035	09-Jun-2007 00:00:00	13-Jan-2016 23:59:59	936	2205	1	2
AF	SEK	-28.323	27.625	02-Aug-2006 00:00:00	07-Jan-2012 23:59:59	918	1067	1	2
AF	CRLN	-25.9949	30.0227	22-Oct-2015 00:00:00	21-Oct-2018 23:59:59	904	192	1	2
AF	KTWE	-12.814	28.209	09-Jan-2006 00:00:00	07-Feb-2013 23:59:59	869	1718	1	2
AF	CNG	-26.2917	32.188301	15-Dec-2006 00:00:00	09-May-2017 23:59:59	860	2939	1	2
AF	SNKL	-28.27528	27.7714	17-Dec-2015 00:00:00	21-Oct-2018 23:59:59	838	202	1	2
AF	BOBN	-1.66	29.23666	26-Feb-2012 00:00:00	10-Sep-2015 23:59:59	780	513	1	2
AF	SHAI	5.88136	0.04389	09-Jul-2009 00:00:00	10-Jan-2016 23:59:59	741	1636	1	2
AF	GRHM	-33.2768	26.3766	18-Oct-2016 00:00:00	21-Oct-2018 23:59:59	692	42	1	3
AF	LBB	-11.631	27.485	18-Jan-2008 00:00:00	18-Jan-2016 23:59:59	654	2269	1	3
AF	PKA	-29.67	22.757	10-Nov-2006 00:00:00	06-Jan-2016 23:59:59	601	2744	1	3
AF	NSU	6.86685	7.41742	05-Sep-2009 00:00:00	10-Apr-2011 23:59:59	560	23	1	3
AF	KAD	10.4305	7.64028	12-Sep-2009 00:00:00	10-Apr-2011 23:59:59	527	49	1	3
AF	MONG	-15.15	23.09	26-Aug-2010 00:00:00	17-Jun-2015 23:59:59	522	1235	1	3
AF	MOPA	-23.517	31.398	30-Nov-2016 00:00:00	21-Oct-2018 23:59:59	503	188	1	3
AF	GETA	-2.866	33.241	04-Aug-2011 00:00:00	15-Oct-2015 23:59:59	500	1034	1	3
AF	NBI	-1.2739	36.8037	09-Mar-2011 00:00:00	25-Nov-2015 23:59:59	468	1255	1	3
AF	PWET	-8.28	28.53	11-Aug-2010 00:00:00	28-Oct-2013 23:59:59	465	710	1	3
AF	IFE	7.546667	4.45692	05-Sep-2009 00:00:00	31-Aug-2012 23:59:59	369	723	1	3
AF	MTVE	-10.25	40.167	12-Aug-2011 00:00:00	09-Sep-2012 23:59:59	243	152	1	3
AF	WDLM	-26.424	27.422	13-Jun-2014 00:00:00	21-Oct-2018 23:59:59	227	1365	1	3
AF	HARE	-17.704	31.009	01-Feb-2008 00:00:00	26-Sep-2008 23:59:59	206	33	1	3
AF	TETE	-16.1467	33.5768	22-Oct-2015 00:00:00	10-Jun-2017 23:59:59	155	443	1	3
AF	MSNA	-22.449	30.024	23-Oct-2015 00:00:00	06-May-2016 23:59:59	118	79	1	3
AF	KIG	-1.96339	30.06332	14-Oct-2008 00:00:00	26-Nov-2009 23:59:59	111	298	1	3
AF	RUDU	-17.9096	19.7648	26-Oct-2015 00:00:00	20-Oct-2016 23:59:59	30	331	1	3
AF	SOE	-32.712	25.562	31-Dec--0001 00:00:00	31-Dec--0001 00:00:00	0	0	1	3
XB	PM26	32.5245	-4.5659	25-Oct-2009 00:00:00	25-May-2013 23:59:59	1305	4	2	2
XB	PM28	32.2317	-4.6171	27-Oct-2009 00:00:00	25-May-2013 23:59:59	1305	2	2	2
XB	PM23	33.128	-5.03	24-Oct-2009 00:00:00	26-May-2013 23:59:59	1304	7	2	2
XB	PM32	31.568	-4.1914	28-Oct-2009 00:00:00	24-May-2013 23:59:59	1304	1	2	2
XB	PM29	32.0844	-4.3913	27-Oct-2009 00:00:00	25-May-2013 23:59:59	1303	4	2	2
XB	PM21	33.7205	-5.3197	30-Oct-2009 00:00:00	26-May-2013 23:59:59	1298	7	2	2
XB	PM34	31.2912	-4.1068	29-Oct-2009 00:00:00	24-May-2013 23:59:59	1298	6	2	2
XB	PM35	31.0463	-3.9958	29-Oct-2009 00:00:00	23-May-2013 23:59:59	1297	6	2	2
XB	PM27	32.3499	-4.6537	26-Oct-2009 00:00:00	25-May-2013 23:59:59	1295	13	2	2
XB	PM24	32.9953	-4.8979	24-Oct-2009 00:00:00	26-May-2013 23:59:59	1289	22	2	2
XB	PM05	35.2134	-5.3368	03-Nov-2009 00:00:00	29-Oct-2012 23:59:59	1084	8	2	2
XB	PM11	34.9308	-4.3119	05-Nov-2009 00:00:00	30-Oct-2012 23:59:59	1084	7	2	2
XB	PM07	35.2275	-4.9863	04-Nov-2009 00:00:00	30-Oct-2012 23:59:59	1082	10	2	2
XB	PM04	35.4026	-5.1525	03-Nov-2009 00:00:00	30-Oct-2012 23:59:59	1081	12	2	2
XB	PM25	32.8757	-4.888	25-Oct-2009 00:00:00	10-Jul-2012 23:59:59	984	6	2	2
